Wartosc_H,Odleglosc_m
0.1191,0.0000
0.1184,0.0007
0.1164,0.0014
0.1146,0.0021
0.1133,0.0028
0.1119,0.0035
0.1107,0.0042
0.1098,0.0049
0.1090,0.0056
0.1082,0.0063
0.1075,0.0070
0.1069,0.0077
0.1063,0.0084
0.1059,0.0091
0.1054,0.0098
0.1052,0.0105
0.1049,0.0112
0.1044,0.0119
0.1042,0.0126
0.1040,0.0133
0.1036,0.0140
0.1035,0.0147
0.1033,0.0154
0.1031,0.0161
0.1030,0.0168
0.1029,0.0175
0.1027,0.0182
0.1026,0.0189
0.1025,0.0196
0.1023,0.0203
0.1022,0.0210
0.1022,0.0217
0.1021,0.0224
0.1020,0.0231
0.1020,0.0238
